DOY	Etr	ETP	NDVI	Rain	T_5cm	T_10cm	T_20cm	T_30cm_2	T_40cm	T_50cm	SWUpper_Avg	SWLower_Avg	LWUpperCo_Avg	LWLowerCo_Avg	Trad_apo	Ta_2m	Ta_3m	RH_2M	RH_3M	WS_ms_2M_Avg	WS_ms_3M_Avg	IAFactivo	Gcorregido					
201	0	0.00	0.130141832	0.000	281.872	281.478	281.164	281.185	8.207	8.402	42.95354861	5.512104167	346.7180556	367.04375	283.28	283.07	283.35	97.6	97.3	7.777	8.07	0.02	-10.48					
202	0	0.00	0.141480769	2.700	284.061	283.614	282.786	282.218	8.805	8.686	11.74104861	1.223055556	364.0631944	374.4277778	284.42	285.45	285.74	84.1	83	2.524	2.874	0.02	-3.14					
203	0	0.06	0.144343574	0.000	281.039	281.549	281.958	282.195	9.165	9.120	142.7572222	20.78438889	274.4333333	349.2368056	279.24	279.88	280.14	94.6	93.3	0.806	0	0.02	12.45					
204	0.321101725	0.07	0.14524683	0.000	278.559	279.388	280.431	281.268	8.689	8.998	119.0277431	17.83507639	256.6541667	335.5284722	276.56	277.32	277.74	61.51	58.38	2.645	2.81	0.02	14.20					
205	0	0.11	0.148135204	0.000	278.496	279.020	279.744	280.521	8.046	8.568	142.6320139	21.35234028	252.7173611	339.0708333	277.02	278.03	278.37	75.41	72.81	0.509	0.227	0.06	9.21					
206	0.355746273	0.06	0.160931826	0.000	277.928	278.529	279.360	280.154	7.670	8.220	69.22120139	9.942152778	295.3180556	334.5402778	276.49	276.97	277.32	94.7	94.1	1.763	2.23	0.06	8.08					
207	0.031378166	0.04	0.160739962	0.100	280.345	280.104	279.940	280.200	7.489	7.968	54.66397222	6.435541667	336.3375	354.5756944	280.78	280.62	280.87	85.5	82.6	2.032	2.234	0.06	-5.46					
208	0	0.10	0.162926088	0.000	280.164	280.311	280.406	280.612	7.749	8.044	146.4447778	21.70119444	271.0451389	350.1569444	279.40	279.79	280.06	93.4	91.8	1.408	1.867	0.06	4.00					
209	0	0.04	0.16206853	0.100	278.996	279.410	279.984	280.512	7.787	8.115	48.7386875	7.110173611	313.7243056	340.5451389	277.81	278.04	278.24	100	99.7	5.312	5.454	0.06	5.67					
210	0.008786938	0.03	0.163103059	0.000	280.784	280.585	280.422	280.573	7.725	8.043	57.6796875	8.0873125	323.5020833	354.9673611	280.91	280.31	280.49	89	87.9	5.622	5.836	0.08	-4.65					
211	0	0.10	0.166283911	0.000	282.117	281.637	281.145	281.054	8.017	8.178	104.6806875	15.28573611	305.0770833	370.9569444	283.52	284.25	284.50	81.6	80.7	6.734	6.988	0.08	-9.79					
212	0	0.09	0.177240234	0.000	282.711	282.430	282.018	281.781	8.551	8.508	62.56522222	8.790166667	322.4340278	367.8631944	283.10	283.97	284.29	51.01	49.11	3.612	3.975	0.08	-3.60					
213	0.604974797	0.19	0.170370718	0.000	281.654	281.851	281.948	281.996	8.881	8.833	135.3182361	20.45954167	286.8069444	357.7520833	281.07	281.77	281.99	63.85	63.09	11.64	13.17	0.08	5.94					
214	0.454946448	0.15	0.178865017	0.000	281.054	281.253	281.480	281.739	8.813	8.915	147.9761667	22.65420833	269.2201389	352.9416667	280.09	280.46	280.68	74.29	73.32	6.229	6.886	0.11	4.77					
215	0.256904063	0.20	0.183334316	0.000	280.634	280.814	281.076	281.435	8.625	8.838	153.8541528	23.59909028	264.1236111	351.3569444	279.67	279.87	280.26	64.68	62.41	2.271	2.688	0.01	3.58					
216	0	0.32	0.185095748	0.000	281.069	280.987	281.058	281.342	8.500	8.736	156.8052986	25.10160417	271.3486111	362.4555556	281.60	282.99	283.36	55.22	54.53	4.974	6.043	0.12	-3.09					
217	0.788115869	0.26	0.182468772	0.000	282.437	282.114	281.785	281.727	8.670	8.769	159.2484931	26.07377083	271.0333333	368.3458333	282.87	283.69	284.02	66.79	66.1	6.049	7.483	0.17	-3.80					
218	0.38779471	0.27	0.187909449	0.000	282.613	282.456	282.201	282.106	8.979	8.980	152.5921667	25.09642361	276.7840278	364.5277778	282.15	283.09	283.60	69.17	67.76	3.05	3.62	0.20	-0.05					
219	0.133231366	0.35	0.192894512	0.000	281.581	281.757	281.921	282.100	9.098	9.139	159.0411389	25.89036806	259.9944444	355.5326389	280.46	280.50	281.05	73.13	70.61	2.523	2.974	0.19	4.26					
220	0.2550678	0.28	0.201782507	0.000	280.468	280.939	281.430	281.827	8.973	9.118	158.314125	25.54822222	262.1583333	345.0409722	278.60	278.08	278.59	87.2	85.6	1.243	1.648	0.08	9.01					
221	0.121942588	0.23	0.20929479	0.000	279.593	280.120	280.759	281.346	8.659	8.952	116.8366111	19.02277083	269.7548611	338.5784722	277.17	277.10	277.70	71.62	68.05	2.333	2.795	0.10	9.24					
222	0.389766306	0.48	0.219343914	0.000	280.252	280.236	280.469	280.949	8.291	8.683	161.4604097	26.53688889	270.3451389	357.69375	280.75	281.56	282.12	49.92	47.43	2.121	2.452	0.17	-3.00					
223	0.489869329	0.31	0.230829378	0.000	281.650	281.492	281.322	281.365	8.398	8.607	96.23647917	15.63491667	296.7034722	361.1430556	281.63	282.73	283.26	83.1	79.19	2.631	3.096	0.19	-1.07					
224	0.085720492	0.16	0.248501659	0.300	280.310	280.755	281.169	281.478	8.576	8.736	125.8226667	18.83122222	291.3659722	341.6201389	278.10	277.72	278.11	96.9	96.5	4.065	4.704	0.09	9.77					
225	0.154200489	0.18	0.252830045	0.100	278.690	279.422	280.246	280.924	8.295	8.639	136.9823681	21.83452083	262.8736111	329.1604167	275.64	274.74	275.13	90.1	88.9	1.71	1.958	0.11	13.58					
226	0.329544745	0.27	0.252577568	0.000	277.964	278.523	279.347	280.195	7.750	8.297	175.2194861	29.68797222	251.4569444	333.9111111	276.44	276.00	276.38	81.6	80.7	3.951	4.316	0.43	5.49					
227	0.392043696	0.31	0.259141838	0.000	279.563	279.554	279.687	280.106	7.470	7.972	133.4760625	21.89045833	276.9020833	347.8263889	279.17	279.10	279.48	79.99	77.24	1.978	2.296	0.24	-1.33					
228	0.102971383	0.45	0.261825612	0.000	281.006	280.675	280.404	280.497	7.622	7.944	149.7014444	24.84583333	287.0875	360.9618056	281.57	282.04	282.59	73.99	71.98	2.018	2.371	0.24	-7.32					
229	0.162941312	0.26	0.258835676	0.000	281.001	280.991	280.957	281.012	7.996	8.138	119.6776389	20.17514583	290.5923611	353.8604167	280.42	280.59	281.01	88.7	88.1	4.362	4.931	0.18	0.63					
230	0.371895669	0.25	0.255209655	0.000	280.204	280.565	280.876	281.115	8.169	8.316	126.7621042	19.46222917	288.8611111	342.5527778	278.48	277.22	277.48	75.82	75.23	2.59	3.13	0.23	7.58					
231	0.424853614	0.50	0.262742491	0.000	280.578	280.543	280.601	280.873	8.047	8.307	162.5403333	25.11563889	282.9166667	347.4583333	279.60	276.10	276.38	77.7	75.64	1.12	1.215	0.35	-1.15					
232	0.143753154	0.33	0.268544989	0.000	279.310	279.761	280.297	280.772	8.001	8.274	100.9602778	16.63345833	279.4625	335.6784722	277.03	275.85	276.28	75.35	74.08	1.154	1.534	0.33	7.14					
233	0.63378903	0.28	0.273698345	0.000	279.491	279.690	280.053	280.514	7.791	8.133	95.24526389	14.51488889	305.1993056	343.0972222	278.78	277.36	277.71	81.3	80.8	2.95	3.188	0.71	0.13					
234	0	0.46	0.27394808	0.200	281.655	281.206	280.775	280.774	7.829	8.077	124.7312361	20.19998611	307.8013889	359.1180556	281.78	280.64	281.03	80.4	77.83	1.913	2.367	0.61	-7.32					
235	0	0.62	0.275494635	0.000	282.319	281.880	281.449	281.330	8.218	8.283	131.0904236	21.57106944	298.0194444	366.3770833	282.79	282.57	283.03	84.9	83.9	2.868	3.222	0.54	-7.05					
236	0.894920678	0.74	0.284478969	0.000	283.075	282.650	282.148	281.891	8.649	8.580	178.0268194	29.91259028	288.8166667	368.1736111	283.22	282.56	282.86	92.9	92.2	3.464	3.763	0.59	-5.23					
237	0.32198591	0.81	0.292325095	0.000	283.776	283.200	282.600	282.314	9.040	8.904	173.8545486	28.46593056	310.2923611	373.7708333	284.38	282.96	283.29	90.4	90.1	3.164	3.51	0.58	-9.10					
238	0.436143141	0.96	0.299985594	0.000	285.108	284.302	283.448	282.952	9.528	9.257	166.5688889	27.13963889	319.01875	383.4409722	286.15	285.15	285.64	83.4	81.4	1.56	2.238	0.69	-10.90					
239	0.663345806	0.99	0.310832205	0.000	286.252	285.321	284.302	283.670	10.120	9.719	148.7535972	23.83684028	336.4965278	393.7451389	288.20	287.49	287.90	97.3	97.1	7.426	8.13	0.79	-15.40					
240	0.40820157	0.81	0.31993149	0.000	288.367	287.153	285.684	284.699	10.891	10.278	101.7107639	16.62627778	369.3340278	409.7902778	291.11	291.09	291.44	80.1	79.48	5.709	6.786	0.85	-19.32					
241	0	1.41	0.332459262	10.000	286.365	286.573	286.208	285.539	11.738	10.990	171.3928889	25.81725694	308.0715278	373.9006944	284.39	284.54	284.95	70.66	68.42	1.422	1.708	1.02	14.14					
242	3.277645983	1.70	0.342887746	0.600	282.742	283.128	283.797	284.311	11.363	11.158	183.2498542	28.74670833	284.2708333	362.1430556	281.95	282.20	282.71	81.7	80.5	2.514	2.879	0.96	7.04					
243	1.076333743	1.63	0.352299511	0.200	283.214	283.231	283.433	283.723	10.792	10.805	193.8663403	31.5026875	287.8819444	362.7708333	282.39	281.62	282.12	71.37	68.81	1.613	1.956	0.91	1.24					
244	0.554650251	1.06	0.364855953	0.200	281.936	282.406	282.949	283.372	10.500	10.578	201.4407708	34.75736806	266.0201389	346.275	279.23	277.97	278.27	87.9	86.2	1.206	1.479	1.02	11.92					
245	0.316758603	0.75	0.367955434	0.500	279.363	280.297	281.504	282.434	9.904	10.233	138.6882917	24.44658333	267.8458333	332.3645833	276.42	275.61	275.99	92	91.1	6.638	7.274	1.15	16.37					
246	0.223460108	1.32	0.377711323	0.000	279.478	279.856	280.630	281.513	9.105	9.658	225.5982639	38.28566667	242.8055556	341.4083333	278.08	277.16	277.44	82.2	81.3	5.636	6.216	1.20	5.19					
